eu_pas_register_number,risk_management_plan,grouped_risk_management_plan,count,due_result_count,due_protocol_count,has_abstract_only_manual_count,has_abstract_manual_count,has_final_study_report_manual_count,has_result_manual_count,has_result_automatic_count,has_additional_protocol_manual_count,has_protocol_manual_count,has_protocol_automatic_count
2165,All,All,1,1,1,1,1,0,1,1,0,1,1
2181,All,All,1,1,1,0,0,0,0,0,0,0,0
2196,All,All,1,1,1,0,1,1,1,1,0,1,1
2857,All,All,1,1,1,0,1,1,1,1,0,1,1
3142,All,All,1,1,1,1,1,0,1,1,0,1,1
3583,All,All,1,1,1,0,1,1,1,1,0,1,1
3674,All,All,1,1,1,1,1,0,1,1,0,1,1
3901,All,All,1,1,1,1,1,0,1,1,0,1,1
4027,All,All,1,1,1,0,1,1,1,1,0,1,1
4270,All,All,1,1,1,1,1,0,1,1,0,1,1
4966,All,All,1,0,1,0,0,0,0,0,0,1,1
5035,All,All,1,1,1,0,1,1,1,1,0,1,1
5094,All,All,1,1,1,1,1,0,1,1,0,1,1
5326,All,All,1,0,1,0,0,0,0,0,0,0,0
5329,All,All,1,0,0,0,0,0,0,0,0,1,1
5411,All,All,1,1,1,0,0,0,0,0,0,0,0
5681,All,All,1,1,1,1,1,0,1,1,0,1,1
5812,All,All,1,1,1,1,1,0,1,1,0,1,1
5914,All,All,1,0,1,0,0,0,0,0,0,0,0
6033,All,All,1,1,1,0,0,0,0,0,0,0,0
6476,All,All,1,0,1,0,0,0,0,0,0,1,1
6800,All,All,1,1,1,0,1,1,1,1,0,1,1
6929,All,All,1,1,1,1,1,0,1,1,0,1,1
6942,All,All,1,1,1,1,1,0,1,1,0,1,1
12171,All,All,1,0,1,0,0,0,0,0,0,0,0
7113,All,All,1,1,1,1,1,0,1,1,0,1,1
7301,All,All,1,1,1,1,1,0,1,1,0,1,1
7331,All,All,1,1,1,1,1,0,1,1,0,1,1
7412,All,All,1,1,1,1,1,0,1,1,0,0,0
7674,All,All,1,1,1,0,1,1,1,1,0,1,1
7778,All,All,1,1,1,1,1,0,1,1,0,1,1
7782,All,All,1,1,1,1,1,0,1,1,0,1,1
9871,All,All,1,1,1,1,1,0,1,1,0,0,0
7957,All,All,1,0,0,0,0,0,0,0,0,1,1
7973,All,All,1,0,1,0,0,0,0,0,0,0,0
8365,All,All,1,1,1,0,1,1,1,1,0,1,1
8412,All,All,1,1,1,0,1,1,1,1,0,1,1
8585,All,All,1,0,1,0,0,0,0,0,0,0,0
9117,All,All,1,1,1,1,1,0,1,1,0,1,1
9312,All,All,1,1,1,0,1,1,1,1,0,1,1
9361,All,All,1,1,1,1,1,0,1,1,0,1,1
9895,All,All,1,1,1,0,1,1,1,1,0,1,1
9977,All,All,1,1,1,0,1,1,1,1,0,1,1
10153,All,All,1,0,1,0,0,0,0,0,0,0,0
10316,All,All,1,0,1,0,0,0,0,0,0,1,1
10547,All,All,1,0,1,0,0,0,0,0,0,1,1
10613,All,All,1,1,1,1,1,0,1,1,0,1,1
10897,All,All,1,1,1,1,1,0,1,1,0,1,1
11081,All,All,1,1,1,0,0,0,0,0,0,1,1
11134,All,All,1,1,1,1,1,0,1,1,0,0,0
11141,All,All,1,1,1,1,1,0,1,1,0,1,1
11145,All,All,1,1,1,0,1,1,1,1,0,1,1
11299,All,All,1,1,1,0,1,1,1,1,0,1,1
11384,All,All,1,1,1,1,1,0,1,1,0,1,1
11391,All,All,1,1,1,1,1,0,1,1,0,0,0
11571,All,All,1,1,1,1,1,0,1,1,0,0,0
11765,All,All,1,1,1,1,1,0,1,1,0,1,1
11998,All,All,1,0,1,0,0,0,0,0,0,1,1
12177,All,All,1,1,1,0,0,0,0,0,0,0,0
12241,All,All,1,1,1,0,1,1,1,1,0,1,1
12330,All,All,1,1,1,0,1,1,1,1,0,0,0
12423,All,All,1,1,1,1,1,0,1,1,0,1,1
12540,All,All,1,1,1,1,1,0,1,1,0,0,0
12842,All,All,1,0,1,0,0,0,0,0,0,0,0
13001,All,All,1,0,1,0,0,0,0,0,0,0,0
13004,All,All,1,0,1,0,0,0,0,0,0,0,0
13007,All,All,1,1,1,0,0,0,0,0,0,0,0
13276,All,All,1,0,1,0,0,0,0,0,0,1,1
13438,All,All,1,1,1,0,0,0,0,0,0,0,0
13514,All,All,1,0,1,0,0,0,0,0,0,1,1
13616,All,All,1,0,1,0,0,0,0,0,0,1,1
13627,All,All,1,0,1,0,0,0,0,0,0,0,0
13661,All,All,1,1,1,1,1,0,1,1,0,1,1
13818,All,All,1,0,1,0,0,0,0,0,0,0,0
14528,All,All,1,1,1,1,1,0,1,1,0,1,1
14776,All,All,1,1,1,1,1,0,1,0,0,1,1
14852,All,All,1,1,1,0,1,1,1,1,0,1,1
15371,All,All,1,1,1,1,1,0,1,1,1,1,1
15411,All,All,1,1,1,1,1,0,1,1,0,1,1
15795,All,All,1,0,1,0,0,0,0,0,0,0,0
6665,All,All,1,1,1,0,1,1,1,1,0,1,1
15943,All,All,1,1,1,1,1,0,1,1,0,1,1
15961,All,All,1,1,1,1,1,0,1,1,0,1,1
16055,All,All,1,1,1,1,1,0,1,1,0,1,1
16062,All,All,1,1,1,0,1,1,1,1,0,1,1
16095,All,All,1,1,1,0,1,1,1,1,0,1,1
7252,All,All,1,0,1,0,0,0,0,0,0,0,0
16520,All,All,1,0,1,0,0,0,0,0,0,1,1
16927,All,All,1,0,1,0,0,0,0,0,0,0,0
17386,All,All,1,1,1,1,1,0,1,1,0,1,1
17848,All,All,1,0,1,0,0,0,0,0,0,0,0
18049,All,All,1,1,1,1,1,0,1,1,0,1,1
18976,All,All,1,1,1,0,1,1,1,1,0,1,1
19522,All,All,1,1,1,1,1,0,1,1,0,1,1
20546,All,All,1,1,1,1,1,0,1,1,0,1,1
20668,All,All,1,1,1,1,1,0,1,1,0,1,1
20720,All,All,1,1,1,1,1,0,1,1,0,1,1
20990,All,All,1,0,1,0,0,0,0,0,0,0,0
21574,All,All,1,1,1,1,1,0,1,1,0,1,1
21731,All,All,1,0,1,0,0,0,0,0,0,0,0
22604,All,All,1,0,1,0,0,0,0,0,0,0,0
22896,All,All,1,1,1,1,1,0,1,1,0,1,1
23056,All,All,1,1,1,0,1,1,1,1,0,1,1
24858,All,All,1,1,1,0,1,1,1,1,0,1,1
25082,All,All,1,0,1,0,0,0,0,0,0,0,0
25131,All,All,1,1,1,1,1,0,1,1,0,1,1
25516,All,All,1,1,1,0,1,1,1,1,0,1,1
26592,All,All,1,0,1,0,0,0,0,1,0,1,1
26886,All,All,1,1,1,0,0,0,0,0,0,0,0
27028,All,All,1,0,1,0,0,0,0,0,0,1,1
37438,All,All,1,1,1,0,0,0,0,0,0,1,1
29031,All,All,1,0,1,0,0,0,0,0,0,0,0
6725,All,All,1,1,1,1,1,0,1,1,0,0,0
31153,All,All,1,0,1,0,0,0,0,0,0,1,1
31436,All,All,1,0,0,0,0,0,0,0,0,0,0
31973,All,All,1,0,1,0,0,0,0,0,0,0,0
32145,All,All,1,1,1,1,1,0,1,1,0,1,1
32302,All,All,1,1,1,1,1,0,1,1,0,1,1
32497,All,All,1,0,1,0,0,0,0,0,0,1,1
32539,All,All,1,0,1,0,0,0,0,0,0,1,1
33124,All,All,1,0,1,0,0,0,0,0,0,1,1
33448,All,All,1,1,1,0,1,1,1,1,0,1,1
33520,All,All,1,0,1,0,0,0,0,1,0,1,1
33862,All,All,1,0,1,0,0,0,0,0,0,0,0
34201,All,All,1,1,1,1,1,0,1,1,0,1,1
34465,All,All,1,1,1,1,1,0,1,1,0,1,1
35698,All,All,1,0,1,0,0,0,0,0,0,0,0
36487,All,All,1,0,1,0,0,0,0,0,0,0,0
36536,All,All,1,0,1,0,0,0,0,1,0,1,1
36702,All,All,1,0,0,0,0,0,0,0,0,0,0
37229,All,All,1,0,1,0,0,0,0,0,0,0,0
7708,All,All,1,0,1,0,0,0,0,1,0,0,0
43115,All,All,1,1,1,1,1,0,1,1,0,0,0
39745,All,All,1,0,0,0,0,0,0,0,0,0,0
34519,All,All,1,0,0,0,0,0,0,0,0,0,0
41735,All,All,1,1,1,1,1,0,1,1,0,1,1
41853,All,All,1,0,1,0,0,0,0,0,0,1,1
41969,All,All,1,0,0,0,0,0,0,0,0,0,0
42540,All,All,1,0,1,0,0,0,0,0,0,1,1
42543,All,All,1,0,1,0,0,0,0,0,1,1,1
42556,All,All,1,0,1,0,0,0,0,0,0,1,1
29038,All,All,1,0,1,0,0,0,0,0,0,1,1
45152,All,All,1,0,1,0,0,0,0,0,0,1,1
45813,All,All,1,0,0,0,0,0,0,0,0,1,1
45972,All,All,1,0,1,0,0,0,0,0,1,1,1
46562,All,All,1,0,1,0,0,0,0,0,0,0,0
6835,All,All,1,0,1,0,0,0,0,0,0,1,1
47088,All,All,1,0,0,0,0,0,0,0,0,0,0
48374,All,All,1,0,1,0,0,0,0,0,0,0,0
49071,All,All,1,0,0,0,0,0,0,0,0,0,0
49218,All,All,1,0,1,0,0,0,0,0,0,0,0
49243,All,All,1,0,1,0,0,0,0,0,0,0,0
103711,All,All,1,0,0,0,0,0,0,0,0,0,0
103852,All,All,1,0,0,0,0,0,0,0,0,1,1
103855,All,All,1,0,1,0,0,0,0,0,0,1,1
105358,All,All,1,0,1,0,0,0,0,0,0,0,0
105422,All,All,1,0,1,0,0,0,0,0,0,0,0
106066,All,All,1,0,0,0,0,0,0,0,0,0,0
1578,All,All,1,1,1,0,0,0,0,0,0,0,0
1587,All,All,1,1,1,0,0,0,0,0,0,1,1
1591,All,All,1,1,1,0,1,1,1,1,0,0,0
1594,All,All,1,1,1,0,0,0,0,0,0,0,0
1597,All,All,1,1,1,0,1,1,1,1,0,1,1
1613,All,All,1,1,1,0,1,1,1,1,0,1,1
1620,All,All,1,1,1,0,0,0,0,0,0,0,0
1661,All,All,1,0,1,0,0,0,0,0,0,0,0
1705,All,All,1,1,1,0,0,1,1,1,0,0,0
1777,All,All,1,1,1,1,1,0,1,1,0,1,1
1821,All,All,1,1,1,0,0,0,0,0,0,1,1
1863,All,All,1,0,0,0,0,0,0,0,0,1,1
1974,All,All,1,0,1,0,0,0,0,0,0,1,1
1999,All,All,1,1,1,0,1,1,1,1,0,1,1
2078,All,All,1,1,1,0,0,0,0,0,0,0,0
2113,All,All,1,1,1,0,0,0,0,0,0,1,1
2192,All,All,1,0,1,0,0,0,0,0,0,0,0
2221,All,All,1,0,1,0,0,0,0,0,0,0,0
2225,All,All,1,1,1,0,0,0,0,0,0,0,0
2278,All,All,1,1,1,0,0,0,0,1,0,0,0
2333,All,All,1,1,1,1,1,0,1,1,0,1,1
2353,All,All,1,1,1,0,0,0,0,0,0,1,1
2356,All,All,1,1,1,1,1,0,1,1,0,1,1
2361,All,All,1,1,1,1,1,0,1,1,0,1,1
2382,All,All,1,1,1,0,0,0,0,0,0,1,1
2385,All,All,1,0,1,0,0,0,0,0,0,1,1
2388,All,All,1,0,1,0,0,0,0,0,0,1,1
2474,All,All,1,1,1,1,1,0,1,1,0,1,1
2480,All,All,1,1,1,0,0,0,0,0,0,0,0
2548,All,All,1,0,0,0,0,0,0,0,0,0,0
2561,All,All,1,0,1,0,0,0,0,0,0,1,1
2569,All,All,1,0,1,0,0,0,0,0,0,1,1
2572,All,All,1,0,1,0,0,0,0,0,0,1,1
2612,All,All,1,1,1,0,1,1,1,1,0,0,0
2616,All,All,1,1,1,1,1,0,1,1,0,1,1
2628,All,All,1,1,1,1,1,0,1,1,0,1,1
2679,All,All,1,1,1,0,0,0,0,0,0,1,1
2717,All,All,1,1,1,0,1,1,1,1,0,0,0
2723,All,All,1,1,1,0,0,0,0,0,0,0,0
2738,All,All,1,1,1,0,0,1,1,1,0,1,1
4584,All,All,1,1,1,0,1,1,1,1,0,1,1
2768,All,All,1,1,1,1,1,0,1,1,0,1,1
2807,All,All,1,0,1,0,0,0,0,0,0,0,0
2860,All,All,1,0,1,0,0,0,0,0,0,0,0
2884,All,All,1,1,1,0,0,0,0,0,0,0,0
2895,All,All,1,1,1,0,0,1,1,1,0,1,1
2946,All,All,1,0,1,0,0,0,0,0,0,0,0
2999,All,All,1,1,1,0,0,1,1,1,0,0,0
3004,All,All,1,0,1,0,0,0,0,0,0,0,0
3014,All,All,1,0,0,0,0,0,0,0,0,0,0
3017,All,All,1,0,0,0,0,0,0,0,0,0,0
3025,All,All,1,1,1,0,0,1,1,1,0,1,1
3057,All,All,1,0,1,0,0,0,0,0,0,0,0
3061,All,All,1,1,1,0,1,1,1,1,0,0,0
3064,All,All,1,1,1,1,1,0,1,1,0,0,0
3099,All,All,1,1,1,1,1,0,1,1,0,1,1
3105,All,All,1,1,1,0,0,0,0,1,0,1,1
3125,All,All,1,1,1,1,1,0,1,1,0,0,0
3136,All,All,1,1,1,0,0,0,0,0,0,1,1
3145,All,All,1,0,1,0,0,0,0,0,0,0,0
3177,All,All,1,1,1,0,1,1,1,1,0,0,0
3180,All,All,1,1,1,1,1,0,1,1,0,1,1
7143,All,All,1,1,1,1,1,0,1,1,0,0,0
3238,All,All,1,0,0,0,0,0,0,0,0,0,0
3243,All,All,1,1,1,0,0,0,0,0,0,1,1
3247,All,All,1,1,1,0,1,1,1,1,0,1,1
3255,All,All,1,1,1,1,1,0,1,1,0,1,1
3260,All,All,1,1,1,1,1,0,1,1,0,0,0
3264,All,All,1,0,1,0,0,0,0,0,0,1,1
3276,All,All,1,0,0,0,0,0,0,0,0,1,1
3287,All,All,1,1,1,0,1,1,1,1,0,1,1
3292,All,All,1,1,1,0,1,1,1,1,0,1,1
3296,All,All,1,1,1,0,1,1,1,1,0,1,1
3310,All,All,1,1,1,0,1,1,1,1,0,1,1
3330,All,All,1,1,1,1,1,0,1,1,0,0,0
3335,All,All,1,1,1,0,1,1,1,1,0,1,1
3351,All,All,1,1,1,0,0,0,0,0,0,0,0
3393,All,All,1,0,1,0,0,0,0,0,0,1,1
3435,All,All,1,0,1,0,0,0,0,0,0,0,0
3444,All,All,1,1,1,1,1,0,1,1,0,1,1
3577,All,All,1,1,1,0,1,1,1,1,0,1,1
3590,All,All,1,1,1,0,0,0,0,0,0,1,1
3596,All,All,1,1,1,0,1,1,1,1,0,1,1
3603,All,All,1,1,1,0,0,0,0,0,0,1,1
3614,All,All,1,1,1,0,0,0,0,0,0,1,1
3626,All,All,1,1,1,1,1,0,1,1,1,1,1
3636,All,All,1,1,1,0,1,1,1,1,0,1,1
3658,All,All,1,0,1,0,0,0,0,0,0,0,0
3669,All,All,1,0,0,0,0,0,0,0,0,1,1
3687,All,All,1,1,1,0,0,1,1,1,0,1,1
3712,All,All,1,1,1,0,1,1,1,0,0,0,0
3718,All,All,1,1,1,0,0,1,1,0,0,0,0
3724,All,All,1,0,1,0,0,0,0,0,0,0,0
3750,All,All,1,0,1,0,0,0,0,0,0,0,0
3772,All,All,1,1,1,1,1,0,1,1,0,1,1
3788,All,All,1,1,1,0,1,1,1,1,0,1,1
3800,All,All,1,1,1,1,1,0,1,1,0,1,1
3803,All,All,1,0,1,0,0,0,0,0,0,0,0
3847,All,All,1,0,1,0,0,0,0,0,0,1,1
3889,All,All,1,0,1,0,0,0,0,0,0,0,0
3911,All,All,1,1,1,0,1,1,1,1,1,1,1
3953,All,All,1,0,1,0,0,0,0,0,0,0,0
3976,All,All,1,1,1,1,1,0,1,1,0,1,1
3979,All,All,1,1,1,0,1,1,1,1,0,1,1
3985,All,All,1,0,1,0,0,0,0,0,0,0,0
4062,All,All,1,1,1,1,1,0,1,1,0,0,0
4072,All,All,1,0,1,0,0,0,0,0,0,0,0
4085,All,All,1,1,1,0,0,0,0,0,0,0,0
4088,All,All,1,1,1,0,0,0,0,0,0,0,0
4101,All,All,1,1,1,1,1,0,1,1,0,1,1
4117,All,All,1,1,1,0,1,1,1,1,0,1,1
4122,All,All,1,1,1,0,1,1,1,1,0,1,1
4126,All,All,1,1,1,0,1,1,1,1,0,1,1
4129,All,All,1,1,1,0,1,1,1,1,0,1,1
4137,All,All,1,1,1,0,0,1,1,1,0,1,1
4207,All,All,1,1,1,0,1,1,1,1,0,1,1
4215,All,All,1,1,1,1,1,0,1,1,0,1,1
4238,All,All,1,1,1,0,0,0,0,0,0,1,1
4242,All,All,1,1,1,0,1,1,1,1,0,1,1
4276,All,All,1,1,1,0,1,1,1,1,0,1,1
4282,All,All,1,1,1,0,1,1,1,1,0,1,1
4290,All,All,1,1,1,0,0,0,0,0,0,0,0
4357,All,All,1,1,1,0,0,0,0,0,0,1,1
4364,All,All,1,1,1,1,1,0,1,1,0,1,1
4373,All,All,1,1,1,0,0,0,0,0,0,0,0
4389,All,All,1,1,1,0,0,1,1,1,0,1,1
4414,All,All,1,1,1,0,0,0,0,0,0,0,0
4468,All,All,1,0,1,0,0,0,0,0,0,0,0
4492,All,All,1,1,1,0,0,0,0,0,0,0,0
4523,All,All,1,1,1,0,0,0,0,0,0,0,0
4551,All,All,1,0,1,0,0,0,0,0,0,0,0
4554,All,All,1,1,1,0,0,0,0,0,0,0,0
4564,All,All,1,1,1,0,1,1,1,1,0,1,1
4568,All,All,1,1,1,0,1,1,1,1,0,1,1
4574,All,All,1,0,1,0,0,0,0,0,0,0,0
4577,All,All,1,1,1,0,1,1,1,1,0,1,1
4619,All,All,1,1,1,0,0,0,0,0,0,0,0
4622,All,All,1,1,1,0,0,0,0,0,0,0,0
4683,All,All,1,1,1,0,0,0,0,0,0,0,0
4700,All,All,1,1,1,1,1,0,1,1,0,1,1
4708,All,All,1,0,0,0,0,0,0,0,0,1,1
4714,All,All,1,1,1,1,1,0,1,1,0,0,0
4721,All,All,1,0,1,0,0,0,0,1,0,0,0
4796,All,All,1,1,1,1,1,0,1,1,0,0,0
4799,All,All,1,1,1,1,1,0,1,1,0,1,1
4836,All,All,1,1,1,0,1,1,1,1,0,1,1
4845,All,All,1,1,1,0,1,1,1,1,0,1,1
4848,All,All,1,1,1,1,1,0,1,1,0,1,1
4851,All,All,1,1,1,0,1,1,1,1,0,1,1
4860,All,All,1,1,1,0,0,0,0,0,0,1,1
4869,All,All,1,1,1,0,0,0,0,0,0,1,1
4872,All,All,1,1,1,1,1,0,1,1,0,1,1
4891,All,All,1,1,1,0,0,0,0,0,0,1,1
4894,All,All,1,1,1,0,0,0,0,0,0,1,1
4902,All,All,1,1,1,0,0,0,0,0,0,1,1
4921,All,All,1,1,1,0,0,0,0,0,0,1,1
4924,All,All,1,1,1,0,0,0,0,0,0,0,0
4934,All,All,1,1,1,0,1,1,1,1,0,1,1
4963,All,All,1,1,1,0,1,1,1,1,0,1,1
5032,All,All,1,0,1,0,0,0,0,0,0,1,1
5064,All,All,1,1,1,1,1,0,1,1,0,1,1
5106,All,All,1,1,1,0,0,1,1,1,0,0,0
5149,All,All,1,0,1,0,0,0,0,0,0,1,1
5153,All,All,1,1,1,0,1,1,1,1,0,1,1
5160,All,All,1,1,1,1,1,0,1,1,0,0,0
5171,All,All,1,1,1,0,0,0,0,0,0,0,0
5177,All,All,1,1,1,0,1,1,1,1,0,1,1
5180,All,All,1,1,1,1,1,0,1,1,0,0,0
5184,All,All,1,1,1,0,1,1,1,1,0,1,1
5214,All,All,1,1,1,1,1,0,1,1,0,0,0
5235,All,All,1,0,0,0,0,0,0,0,0,0,0
5238,All,All,1,1,1,0,0,0,0,0,0,0,0
5249,All,All,1,1,1,1,1,0,1,1,0,1,1
5269,All,All,1,1,1,0,1,1,1,1,0,1,1
5275,All,All,1,1,1,0,0,0,0,0,0,0,0
5278,All,All,1,1,1,0,0,0,0,0,0,1,1
5289,All,All,1,1,1,1,1,0,1,0,0,0,0
5306,All,All,1,1,1,0,0,0,0,0,0,0,0
5309,All,All,1,1,1,0,0,0,0,0,0,0,0
5312,All,All,1,1,1,0,0,0,0,0,0,0,0
