                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2300   
Model:          ,Logit           ,  Df Residuals:      ,  2267   
Method:         ,MLE             ,  Df Model:          ,    32   
Date:           ,Sun, 16 Mar 2025,  Pseudo R-squ.:     ,0.1213   
Time:           ,21:02:07        ,  Log-Likelihood:    , -1363.7 
converged:      ,True            ,  LL-Null:           , -1551.9 
Covariance Type:,nonrobust       ,  LLR p-value:       ,1.977e-60
                                                                                                      ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] ,odds rt,[0.025,0.975]
Intercept                                                                                             ,    0.8354,    0.220,    3.793, 0.000,    0.404,    1.267,2.3057 ,1.4973,3.5505
Q("age_population__18+_years;_<18_years")[T.True]                                                     ,    0.1360,    0.111,    1.223, 0.221,   -0.082,    0.354,1.1457 ,0.9214,1.4247
Q("age_population__<18_years")[T.True]                                                                ,    0.0163,    0.195,    0.084, 0.933,   -0.366,    0.399,1.0165 ,0.6935,1.49  
Q("collaboration_with_research_network__true")[T.True]                                                ,    0.7822,    0.170,    4.589, 0.000,    0.448,    1.116,2.1862 ,1.5653,3.0534
Q("funding_sources_grouped__mixed")[T.True]                                                           ,   -0.1918,    0.337,   -0.569, 0.569,   -0.853,    0.469,0.8254 ,0.4263,1.5984
Q("funding_sources_grouped__no_funding")[T.True]                                                      ,    0.7654,    0.436,    1.754, 0.079,   -0.090,    1.621,2.1498 ,0.914 ,5.0563
Q("funding_sources_grouped__non-commercial")[T.True]                                                  ,   -0.0077,    0.157,   -0.049, 0.961,   -0.316,    0.301,0.9924 ,0.7291,1.3507
Q("funding_sources_grouped__unclear")[T.True]                                                         ,   -0.7180,    0.376,   -1.908, 0.056,   -1.455,    0.019,0.4878 ,0.2333,1.0196
Q("has_outcomes__true")[T.True]                                                                       ,    0.0778,    0.132,    0.589, 0.556,   -0.181,    0.337,1.0809 ,0.8344,1.4002
Q("multiple_funding_sources__true")[T.True]                                                           ,   -0.2552,    0.177,   -1.443, 0.149,   -0.602,    0.091,0.7747 ,0.5477,1.0958
