                     Logit Regression Results                    
Dep. Variable:  ,has_protocol    ,  No. Observations:  ,  2283   
Model:          ,Logit           ,  Df Residuals:      ,  2256   
Method:         ,MLE             ,  Df Model:          ,    26   
Date:           ,Fri, 01 Mar 2024,  Pseudo R-squ.:     ,0.06503  
Time:           ,18:16:49        ,  Log-Likelihood:    , -1326.9 
converged:      ,True            ,  LL-Null:           , -1419.2 
Covariance Type:,nonrobust       ,  LLR p-value:       ,7.637e-26
                                                                                                      ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
Intercept                                                                                             ,  -50.4838,   33.224,   -1.520, 0.129, -115.601,   14.633
Q("study_type__active_surveillance")[T.True]                                                          ,   -0.0776,    0.294,   -0.264, 0.792,   -0.653,    0.498
Q("study_type__clinical_trial")[T.True]                                                               ,   -0.9988,    0.388,   -2.577, 0.010,   -1.759,   -0.239
Q("study_type__other")[T.True]                                                                        ,   -0.7619,    0.148,   -5.153, 0.000,   -1.052,   -0.472
Q("collaboration_with_research_network__true")[T.True]                                                ,    0.5397,    0.158,    3.417, 0.001,    0.230,    0.849
Q("country_type__international_study")[T.True]                                                        ,    0.3496,    0.107,    3.258, 0.001,    0.139,    0.560
Q("multiple_funding_sources__true")[T.True]                                                           ,   -0.1262,    0.206,   -0.611, 0.541,   -0.531,    0.278
Q("medical_conditions__false")[T.True]                                                                ,    0.1878,    0.129,    1.451, 0.147,   -0.066,    0.442
Q("sex_population__female")[T.True]                                                                   ,    0.4754,    0.183,    2.603, 0.009,    0.117,    0.833
Q("sex_population__male")[T.True]                                                                     ,    0.2278,    0.300,    0.760, 0.447,   -0.359,    0.815
Q("number_of_subjects_grouped__1000-10000")[T.True]                                                   ,    0.0405,    0.140,    0.290, 0.772,   -0.233,    0.314
Q("number_of_subjects_grouped__500-<1000")[T.True]                                                    ,   -0.0679,    0.176,   -0.387, 0.699,   -0.412,    0.276
Q("number_of_subjects_grouped__<100")[T.True]                                                         ,    0.3371,    0.179,    1.885, 0.059,   -0.013,    0.687
Q("number_of_subjects_grouped__>10000")[T.True]                                                       ,    0.2051,    0.147,    1.395, 0.163,   -0.083,    0.493
Q("uses_established_data_source__true")[T.True]                                                       ,    0.3179,    0.113,    2.822, 0.005,    0.097,    0.539
Q("follow_up__true")[T.True]                                                                          ,    0.0303,    0.104,    0.291, 0.771,   -0.174,    0.234
Q("primary_outcomes__true")[T.True]                                                                   ,    0.0667,    0.130,    0.512, 0.609,   -0.189,    0.322
Q("planned_duration_quartiles__2")[T.True]                                                            ,    0.0475,    0.156,    0.304, 0.761,   -0.259,    0.354
Q("planned_duration_quartiles__3")[T.True]                                                            ,   -0.5273,    0.155,   -3.403, 0.001,   -0.831,   -0.224
Q("planned_duration_quartiles__4")[T.True]                                                            ,   -0.1535,    0.173,   -0.888, 0.375,   -0.492,    0.185
Q("planned_duration_quartiles__nan")[T.True]                                                          ,   -0.6624,    0.152,   -4.345, 0.000,   -0.961,   -0.364
Q("risk_management_plan__eu_rmp_category_1_(imposed_as_condition_of_marketing_authorisation)")[T.True],    0.8262,    0.269,    3.067, 0.002,    0.298,    1.354
Q("risk_management_plan__eu_rmp_category_2_(specific_obligation_of_marketing_authorisation)")[T.True] ,    0.6179,    0.447,    1.383, 0.167,   -0.258,    1.493
Q("risk_management_plan__eu_rmp_category_3_(required)")[T.True]                                       ,    0.4431,    0.124,    3.586, 0.000,    0.201,    0.685
Q("risk_management_plan__non-eu_rmp_only")[T.True]                                                    ,    0.8707,    0.229,    3.795, 0.000,    0.421,    1.320
Q("risk_management_plan__nan")[T.True]                                                                ,   -0.4355,    0.220,   -1.983, 0.047,   -0.866,   -0.005
Q("registration_date")                                                                                ,    0.0252,    0.016,    1.533, 0.125,   -0.007,    0.057
